schema,sentence,verb,source
modal-be,pp_up_NP,"the decision should be left up to the industry rather than to the government",leave,CNHK1350
modal-be,pp_up_NP,"euthanasia should be allowed up to now",allow,TRCU1140
modal-be,pp_up_NP,"Europe can be said to have failed",say,FRUC1024
modal-be,pp_up_NP,"If should be promoted up to higher level",promote,PAGF1059
modal-be,pp_up_NP,"the ban of smoking should be left up to the industry not the government",leave,CNHK1479
modal-be,pp_over_NP,"People of the same nation may be scattered all over the world",scatter,LTVI1050
modal-be,pp_over_NP,"it can be found all over the world",find,SWUL9032
modal-be,pp_over_NP,"This phenomenon can be experienced all over the world",experience,HUEL3012
modal-be,pp_over_NP,"entire encyclopedias can be transmitted over the Internet",transmit,FIAB6007
modal-be,pp_over_NP,"Euthanasia should be allowed all over the world",allow,TRCU1170
modal-be,pp_above_NP,"they must be married above all",marry,ITTO3051
modal-be,pp_above_NP,"heavy silverbangles can be seen above their pointed shoes",see,SWUL8008
modal-be,pp_above_NP,"it must be made above all",make,ITRS2030
modal-be,pp_above_NP,"man can be put above any other species on earth",put,POPZ2043
modal-be,pp_above_NP,"he will be punished above all",punish,ITTO6006
modal-be,pp_towards_NP,"which can be strived towards",strive,BGSU1233
modal-be,pp_towards_NP,"our world will be altered Towards the end of the twentieth century",alter,FRUC1066
modal-be,pp_towards_NP,"all of their love will be pointed towards the child",point,MDCM1107
modal-be,pp_towards_NP,"prisonment would be turned more towards rehabilitation",turn,NOUO1071
modal-be,pp_towards_NP,"This unity will be destroyed towards the end of the story",destroy,FRUC2072
perf-be,pp_within_NP,"it has been proved within the field of marketing",prove,SWUL9014
perf-be,pp_within_NP,"the proposition of English originated words have been increased within the language of computers Internet",increase,HUEL3016
perf-be,pp_within_NP,"genetic engineering has been developed within several decades",develop,CNUK1112
perf-be,pp_within_NP,"which has been established within literally thousands of years",establish,GEBA1017
perf-be,pp_within_NP,"This has been demonstrated within the past few years",demonstrate,CZUN1012
modal-be,pp_around_NP,"it can be seen around us",see,GRAR5058
modal-be,pp_around_NP,"peace of nature can be sensed Around six oclock",sense,FIJY1082
modal-be,pp_around_NP,"the monotonuos atmosphere in the classroom expressed by the teacher could be centred around the student",centre,MDCM1120
modal-be,pp_around_NP,"crime can be seen around us",see,FIJY1026
modal-be,pp_around_NP,"which can be observed arround us",observe,PAVL1028
past-be,pp_out_NP,"I was chucked out of the classroom",chuck,GEAU3008
past-be,pp_out_NP,"was banned out of smoking",ban,CNHK1622
past-be,pp_out_NP,"Her daughter was born out of wedlock",bear,SEBJ3003
past-be,pp_out_NP,"only 835 were donated out of the 17 429 transplants in 2005",donate,BRSM1367
past-be,pp_out_NP,"only 835 were donated out of the 17 429 transplants in 2005",donate,BRSM1367
